apiId	actionId
SuperphoneApi	AddCustomContribution
FielddApi	AddCustomer
GorilladeskApi	AddCustomer
TrackingtimeApi	AddCustomer
TrackingtimeApi	AddCustomer
OmedaApi	AddCustomer
DeltanetCrmApi	AddCustomer
ProfitwellApi	AddCustomer
ExlyApi	AddCustomer
CryptolensApi	AddCustomer
MediabrainsApi	AddCustomer
YeshInvoiceApi	AddCustomer
InvoiceQuicklyApi	AddCustomer
RannkoApi	AddCustomer
CubappApi	AddCustomer
JustprotectApi	AddCustomer
BuildercomsApi	AddCustomer
Crm4SolutionApi	AddCustomerCampaign
DeposytApi	AddCustomerCampaign
CallmakerApi	AddCustomerCardsPersonalQueue
BlingCloudApi	AddCustomerContactCrm
MycashflowApi	AddCustomerCustomerGroup
MethodCrmApi	AddCustomerCustomerLeadQuickbooksOnly
VitalCrmApi	AddCustomerDataCustomerno.
MewsApi	AddCustomerFile
SquareApi	AddCustomerGroup
LiveagentApi	AddCustomerGroup
RejoinerApi	AddCustomerList
DeposytApi	AddCustomerList
SmsMasivosApi	AddCustomerLoyaltyCard
OnrampApi	AddCustomerMemberProject
BlingCloudApi	AddCustomerNote
VitalCrmApi	AddCustomerNote.
VitalCrmApi	AddCustomerNoteSender'sEmail.
RejoinerApi	AddCustomerPreferenceTags
HelloCustomerApi	AddCustomerReviews
VitallyApi	AddCustomerSegment
AteraApi	AddCustomerSite
ZokoApi	AddCustomerTag
MethodCrmApi	AddCustomerVendorCustomerVendorLeadXeroOnly
SmsMasivosApi	AddCustomerWallet
VboutApi	AddCustomEventContact
TimeghostApi	AddCustomFeedEvent
HubiomailApi	AddCustomField
RaynetCrmApi	AddCustomFieldAttachment
PlanviewAgileplaceApi	AddCustomFieldChoiceItemDropdown
TrustlayerApi	AddCustomFieldParty
EzekiaApi	AddCustomFieldValueCompany
EzekiaApi	AddCustomFieldValuePerson
EzekiaApi	AddCustomFieldValueProject
TractionnextApi	AddCustomInteraction
TailoredmailApi	AddCustomList
LeadmetricsApi	AddCustomMetricValue
GainsightCustomerCommunitiesApi	AddCustomRoleUser
CheckPointeApi	AddDancer
OmniengageApi	AddDataList
DovetailApi	AddDataPointChannel
DovetailApi	AddDataProject
KlipfolioApi	AddDataSource
NiftyimagesApi	AddDataStoreRecord
RecruitCrmApi	AddDeal
OutsetaApi	AddDeal
WisibleApi	AddDeal
AtzCrmApi	AddDeal
OutpostCrmApi	AddDeal
SalesSimplifyApi	AddDeal
MontyApi	AddDeal
OnpipelineApi	AddDeal
KeepTouchApi	AddDeal
FundwaveApi	AddDeal
LivespaceApi	AddDealCost
LivespaceApi	AddDealNote
MoskitApi	AddDealNote
LivespaceApi	AddDealProduct
ExpensyaApi	AddDelegatedAccess
GracefulEffortsApi	AddDeliverableParent
